,Sentence
5635,short flight nice crew boarding organized easypoints négatifs
5636,late departure old plane tight seats online check
5637,fine service friendly staff points positifs
5638,time performance great service
5639,delayed flightpoints positifs
5640,flight delayed hour takeoff
5641,plane old seats comfortable
5642,business class seats spacious clean
5643,efficient boarding
5644,flight cabin crew good
5645,entertainment touch screen work mediocre selection
5647,cabin crew members respond request fix screen brought 3 different occasions forcing find new seat middle 16h flight
5648,one best flights ’ ever
5651,flight cancelled apology compensation
5652,flight hour late due late connections slow loading bags
5653,always miss drink service
5654,crew funny pleasant
5655,plane hour late ’ disembark midnight
5656,excellent value price paid
5658,crew great
5659,seats best
5660,crew really friendly wanted ensure comfortable
5661,tsa check denver airport awful
5662,flightwas 2 hours late
5663,great crew
5664,delayed 4 hrs
5665,hour delay ground staff airlines bothered inform passengers
5667,food ordered entertainment scorej
5668,aircraft quite old
5669,could communicated 100 times better flight turned around inflight held us captive gate three hours delayed flight twelve hours
5670,flight ontime maybe even little early plane clean boarding process simple smooth flight attendants welcoming getting plane
5671,crew flight okay including flight attendants pilots dont know near end shifts day everything seemed rushed talked fast point sometimes even difficult understand
5672,5 hours delay
5673,crew attentive friendly
5674,uncomfortable seating recline red eye flight ’ pore shanghai
5675,quick check
5677,worst flight everpoints négatifs
5678,departure 2 hours late seat pitch smallest ever experienced seats recline support connection shanghai never use airline
5679,airplane old
5680,flight crew excellent
5681,crew much friendly
5682,mine type food suggestion please sri lankan varities
5683,found sri lankan staff friendly accommodative
5684,service crew excellent
5685,seats ’ comfortable overall plane clean service impeccable
5686,flight late missed adelaide flight
5687,friendly crew great foodpoints négatifs
5688,delay take
5690,enough leg space cramped seats
5691,flight delayed 2 hourspoints négatifs
5692,flight delayed 2 hours
5694,pilot landing perfect
5696,flight delayed hour would appreciate clearer instructions regarding change boarding gate
5697,really good experience ticket bought morning flight company doesnt trips morning stay 6 horas waiting afternoon trips
5698,tv music would nice
5699,pretty full flight ride comfortable flight crew friendly ride pretty steady way dallas
5700,tv music options
5701,also said provided free wifi unavailable flight
5702,pilot great excellent landing safe return home
5703,crew polite friendly points négatifs
5704,left 30 minutes late
5705,crew friendly kind acted burnt burdened
5706,crew absolutely wonderful seat comfortable ever
5707,keep us updated 60 min delay start boarding boards continues say time landed 30 mins late baggage took forever get onto belt
5708,kiosks check would great
5709,3 hours late
5710,comfortable spacious seat allowed slee flight
5711,delayed 35 minutes
5712,good flight overall crew good points négatifs
5713,left half hour late otherwise satisfied
5715,pleasant flight
5716,cheap fast time seats tight comfy points négatifs
5717,rare smiles sun wings employer waited 2 hours flights departure employees airfport checking really tight seats
5718,bad service suriname airways cancelled outle flight booked since sept 2016 changed sunday july 30 causing problems car rentals hotels since sept well
5719,food great
5720,delayed twice serious dont give even water
5721,seats small screens tv movies
5722,seats tiny uncomfortable
5723,flight delayed two hours leaving delhi zurich hour leaving zurich chicago
5724,service delhi zurich flight minimal inflight entertainment work spite crew trying reset bathrooms awful
5725,seats comfortable crew great
5726,crew excellent food good well entertainment
5727,crew excellent good food good entertainment
5728,crew great
5729,entertainment board
5730,last row seat would recline made flight less comfortable
5731,service slow fine
5732,couldnt online checkin seat selection honoured plane model advertised entertainment board
5734,open check counters time scheduled
5735,half hour late least
5736,excellent food crew
5737,friendly attentive crew
5738,clean plane
5739,overhead fans seats comfortable
5740,service least friendly part flight
5741,bad food people nice
5742,excellent meal generous baggage allowance
5743,slow boarding typical
5744,old plane ’ work well audio entertainment
5745,entertainment average
5746,one flight attendant helpful
5747,boarding taking ridiculous delayed 1 hour without reason
5749,comfortable seat friendly crew
5750,crew great ride great points négatifs
5751,movie choices english headphones ’ work food ok
5752,timely efficient boarding
5753,good service used avianca past without issues
5754,movie options would great food quality ok
5755,food horrible
5756,seat old uncomfortable
5758,sits old uncomfortable long flights
5759,check crew provided good customer servicepoints négatifs
5760,tvs ’ work plane ’ old uncomfortable
5761,fly tickets sold missed baggage still ’ answer poor costumer service airport 3 hours nobody help luggage going call tomorrow
5762,crew professional polite
5763,checkin easy
5764,flight delayed 1 hour information given delay
5765,overall experience great points négatifs
5766,indeed good experience
5767,flight wad late becsuse immigration
5768,boarding seemed disorganized lack clarity wheeled luggage allowed first
5769,left late arrived late missed connection
5770,good crew new airbus 321 charging possible
5771,poor service
5772,seats comfortable room pack pack seats
5773,food timing displays video tiny selection possivble
5774,crew helpful
5775,food surprisingly good
5776,unexpectedly comfortable seat particular flight unlike previous flights tofrom usa
5777,seats confortable
5779,free wifi entertainment good
5780,customer service good points négatifs
5781,flights delayed airline lost luggage
5782,great crew
5783,flight delayed almost missed connecting flight
5785,flight 1 hour late depart
5786,1h 30 minutes late
5787,check staff helpful flight pleasant
5788,check flight info airport great
